billboard_rank,artist_name,id,spotify_name
83,Celine Dion,4S9EykWXhStSc15wEx8QFK,C̩line Dion
84,The Miracles,6TqQLejnHXMGr7KcegxUND,The Miracles
85,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Eminem
86,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,JAY Z
87,Bob Seger,485uL27bPomh29R4JmQehQ,Bob Seger
88,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac
89,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Kanye West
90,Justin Timberlake,31TPClRtHm23RisEBtV3X7,Justin Timberlake
91,Neil Sedaka,5N6GwJzOcOY5kv8p0NjhYL,Neil Sedaka
92,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen
93,The Pointer Sisters,2kreKea2n96dXjcyAU9j5N,The Pointer Sisters
94,John Denver,7EK1bQADBoqbYXnT4Cqv9w,John Denver
95,Four Tops,7fIvjotigTGWqjIz6EP1i4,Four Tops
96,Tony Orlando & Dawn,6PNZ6ZfwWLiUA2BrranFl3,Tony Orlando
97,50 Cent,3q7HBObVc0L8jNeTe5Gofh,50 Cent
98,The 5th Dimension,1UUYAQ9LiRsZF0ZukQNWXM,The 5th Dimension
99,Captain & Tennille,7BEfMxbaqx6dOpbtlEqScm,Captain & Tennille
100,Andy Gibb,4YPqbAiLzBg5DIfsgQZ8QK,Andy Gibb
